,Source,Target,Weight
920,Asgard,Tidings,2
921,Troy,Gods,2
922,Troy,Race,2
923,Asgard,World,2
924,Odin,High-seat,2
925,Odin,Alfather,2
926,Odin,Father,2
927,Jord,Earth,2
928,Jord,Daughter,2
929,Jord,Wife,2
930,Narfe,Jotunheim,2
931,Afterward,Son,2
932,Day,Horses,2
933,Day,Earth,2
934,Har,Man,2
935,Moon,Sun,2
936,Moon,Earth,2
937,Bil,Hjuke,2
938,Har,Bridge,2
939,Muspel,Fight,2
940,Muspel,Chapter,2
941,Muspel,Ganglere,2
942,Asgard,Burg,2
943,Har,Beginning,2
944,Jotunheim,Counsel,2
945,Jotunheim,Dwarfs,2
946,Durin,Vala,2
947,Durin,Gods,2
948,Ore,File,2
949,Vale,Dwell,2
950,Thek,Dwell,2
951,Lit,Dwell,2
952,Vit,Dwell,2
953,Nyrad,Dwell,2
954,Rek,Dwell,2
955,Radsvid,Dwell,2
956,Har,Ash,2
957,Ygdrasil,Ganglere,2
958,Said,Jafnhar,2
959,Ginungagap,Hvergelmer,2
960,Niflheim,Nidhug,2
961,Niflheim,Root,2
962,Hvergelmer,Root,2
963,Nidhug,Root,2
964,Mimer,Well,2
965,Vala,Odin,2
966,Odin,Morning,2
967,Odin,Valfather,2
968,Well,Mimer,2
969,Mimer,Mead,2
970,Mimer,Every,2
971,Mimer,Morning,2
972,Mimer,Valfather,2
973,Mimer,Pledge,2
974,Mimer,Know,2
975,Mimer,Root,2
976,Urd,Day,2
977,Sleipner,Glad,2
978,Sleipner,Gyller,2
979,Glad,Gyller,2
980,Glad,Gler,2
981,Glad,Skeidbrimer,2
982,Glad,Siner,2
983,Glad,Gisl,2
984,Glad,Falhofner,2
985,Gyller,Gler,2
986,Gyller,Skeidbrimer,2
987,Gyller,Siner,2
988,Gyller,Gisl,2
989,Gyller,Falhofner,2
990,Gler,Skeidbrimer,2
991,Gler,Siner,2
992,Gler,Gisl,2
993,Gler,Falhofner,2
994,Skeidbrimer,Siner,2
995,Skeidbrimer,Gisl,2
996,Skeidbrimer,Falhofner,2
997,Siner,Gisl,2
998,Siner,Falhofner,2
999,Gisl,Falhofner,2
1000,Balder,Horse,2
1001,Ygdrasil,Bifrost,2
1002,Does,Har,2
1003,Urd,Men,2
1004,Nidhug,Ash,2
1005,Nidhug,Serpents,2
1006,Nidhug,Ygdrasil,2
1007,Ygdrasil,Tree,2
1008,Urd,Swans,2
1009,Glitner,Pillars,2
1010,Glitner,Gold,2
1011,Glitner,Silver,2
1012,Himinbjorg,End,2
1013,Odin,Hlidskjalf,2
1014,Gimle,Hall,2
1015,Vala,Name,2
1016,Hrasvelg,Wings,2
1017,Har,Question,2
1018,Har,Asas,2
1019,Har,Power,2
1020,Odin,Rules,2
1021,Frigg,Men,2
1022,Alfather,Father,2
1023,Alfather,Gods,2
1024,Grim,Herjan,2
1025,Grim,Thride,2
1026,Grim,Thud,2
1027,Grim,Helblinde,2
1028,Grim,Har,2
1029,Grim,Sad,2
1030,Herjan,Thride,2
1031,Herjan,Thud,2
1032,Herjan,Helblinde,2
1033,Herjan,Har,2
1034,Herjan,Sad,2
1035,Herjan,Svipal,2
1036,Herjan,Herteit,2
1037,Thride,Thud,2
1038,Thride,Helblinde,2
1039,Thride,Sad,2
1040,Thride,Svipal,2
1041,Thride,Herteit,2
1042,Thride,Hnikar,2
1043,Thride,Bileyg,2
1044,Thride,Baleyg,2
1045,Thride,Bolverk,2
1046,Thride,Fjolner,2
1047,Thud,Helblinde,2
1048,Thud,Har,2
1049,Thud,Sad,2
1050,Thud,Svipal,2
1051,Thud,Herteit,2
1052,Thud,Hnikar,2
1053,Thud,Bileyg,2
1054,Thud,Baleyg,2
1055,Thud,Bolverk,2
1056,Thud,Fjolner,2
1057,Helblinde,Har,2
1058,Helblinde,Sad,2
1059,Helblinde,Svipal,2
1060,Helblinde,Herteit,2
1061,Helblinde,Hnikar,2
1062,Helblinde,Bileyg,2
1063,Helblinde,Baleyg,2
1064,Helblinde,Bolverk,2
