,Source,Target,Weight
775,Telemachus,Pylus,3
776,Ulysses,Should,3
777,Ulysses,Toil,3
778,Ulysses,Night,3
779,Euryclea,Telemachus,3
780,Pallas,Man,3
781,Pallas,Suitor,3
782,Minerva,Thence,3
783,Pallas,Prince,3
784,Goddess,Crew,3
785,Goddess,Pallas,3
786,Pallas,Waves,3
787,Deep,Waves,3
788,Jove,Had,3
789,Pylus,Ulysses,3
790,Ulysses,Departure,3
791,Minerva,Nestor,3
792,Goddess,Sun,3
793,Pallas,Hast,3
794,Nestor,Feast,3
795,Nestor,Followers,3
796,Nestor,Viands,3
797,King,Ocean,3
798,King,Neptune,3
799,Telemachus,Hence,3
800,Deep,Life,3
801,Deep,Telemachus,3
802,Pallas,Courage,3
803,Nestor,Glory,3
804,Nestor,Whence,3
805,Neleus,Son,3
806,Troy,Ilium,3
807,Troy,Death,3
808,Deep,Thou,3
809,Ilium,Fight,3
810,Nestor,Gerenian,3
811,Nestor,Hero,3
812,Nestor,Friend,3
813,Priam,City,3
814,Jove,Return,3
815,Agamemnon,Troy,3
816,Jove,Woe,3
817,Neptune,Waves,3
818,Neptune,Deep,3
819,Deep,Sacrifice,3
820,Deep,Land,3
821,Jove,Followers,3
822,King,Thy,3
823,King,Chief,3
824,Troy,Fleet,3
825,Gods,Haste,3
826,Gods,Menelaus,3
827,Jove,Sign,3
828,Neptune,Course,3
829,Myrmidons,Son,3
830,Thy,Thou,3
831,Greeks,Thee,3
832,Gods,Love,3
833,Telemachus,Word,3
834,Queen,Gods,3
835,Queen,Death,3
836,Gods,Sleep,3
837,God,Son,3
838,Nestor,Atrides,3
839,Chief,Renown'd,3
840,Chief,Menelaus,3
841,Chief,Hero,3
842,Menelaus,Return,3
843,Hero,Ilium,3
844,Greeks,Field,3
845,King,Gods,3
846,Troy,Charge,3
847,South,Wind,3
848,Menelaus,Thee,3
849,Jove,Hands,3
850,Gods,Libation,3
851,Telemachus,Return,3
852,Him,Telemachus,3
853,Him,Thee,3
854,Chief,Hence,3
855,Chief,Beneath,3
856,Gods,None,3
857,Nestor,Pallas,3
858,Nestor,Warrior,3
859,Nestor,Father,3
860,Thrasymedes,Nestor,3
861,Hero,Minerva,3
862,Minerva,Hath,3
863,Nestor,Vestibule,3
864,Pisistratus,Menelaus,3
865,Lord,Haste,3
866,Jove,Sight,3
867,Jove,Stores,3
868,Ulysses,Sorrow,3
869,Him,Penelope,3
870,Menelaus,Spouse,3
871,Ulysses,Cause,3
872,God,Father,3
873,Argos,Son,3
874,Hero,Hast,3
875,Jove,Wife,3
876,Menelaus,Dear,3
877,Ulysses,Address,3
878,Ilium,Sons,3
879,Hero,Helen,3
880,Thou,Thee,3
881,God,Telemachus,3
882,Ægypt,Shore,3
883,Ægypt,Hecatombs,3
884,Gods,Days,3
885,Pow'rs,Divine,3
886,God,Deep,3
887,Deep,Thee,3
888,Deep,Proteus,3
889,Deep,Father,3
890,Neptune,Father,3
891,God,Answer,3
892,God,Sun,3
893,Hero,O'er,3
894,Gods,Country,3
895,Ocean,Gods,3
896,Goddess,Ocean,3
897,Gods,Art,3
898,Nestor,Troy,3
899,Gods,Birth,3
900,Ithaca,Guest,3
901,Deep,Board,3
902,Gods,Him,3
903,Hero,Dear,3
904,Menelaus,Wine,3
905,Chiefs,Antinoüs,3
906,Jove,Purpose,3
907,Penelope,Women,3
908,Gods,Husband,3
909,Greeks,Chief,3
910,Chief,Prince,3
911,Hellas,Argos,3
912,Ulysses,Slay,3
913,Euryclea,Thou,3
914,Telemachus,Truth,3
915,King,Race,3
916,Ulysses,Thighs,3
917,Queen,Length,3
918,Antinoüs,Counsel,3
919,Pallas,Brave,3
920,Gods,Time,3
921,Goddess,Voice,3
922,Neptune,Phæacia,3
923,Pallas,Father,3
924,Ulysses,Yon,3
925,Chief,Thence,3
926,Ilium,Fate,3
927,Ulysses,Skies,3
928,Ocean,Form,3
929,God,Hermes,3
930,God,Length,3
931,Goddess,Her,3
932,God,Truth,3
933,God,Jove,3
934,Jove,Delay,3
935,Jove,Friends,3
936,Jove,Bolt,3
937,Ulysses,Thoughts,3
938,Penelope,Stature,3
939,Penelope,From,3
940,Ulysses,Vest,3
941,Phæacia,Land,3
942,South,West,3
943,Ocean,Ulysses,3
944,Ocean,Flood,3
945,Deep,Form,3
946,Ulysses,Reason,3
947,Pow,Ulysses,3
948,Pallas,Forth,3
949,Ulysses,Ease,3
950,Minerva,Argument,3
951,Minerva,Thy,3
952,Phæacia,Father,3
953,Goddess,Gods,3
954,Queen,Her,3
955,Jove,Head,3
956,Deep,Length,3
957,Gods,Peace,3
958,Gods,Deep,3
959,Jove,Gifts,3
960,Ulysses,Myself,3
961,Hero,Hands,3
962,Gods,Lot,3
963,Ulysses,Train,3
964,Ulysses,Sun,3
965,Ulysses,Renown,3
966,Ulysses,Book,3
967,Ulysses,Argument,3
968,Alcinoüs,Queen,3
969,Queen,Alcinoüs,3
970,Ulysses,Reach,3
971,Chief,Phæacia,3
972,Alcinoüs,Supreme,3
973,Ulysses,Lest,3
974,Minerva,Chief,3
975,King,Alcinoüs,3
976,Alcinoüs,Length,3
977,Hero,Areta,3
978,Hero,Knees,3
979,Minerva,King,3
980,Areta,Knees,3
981,Prince,Thy,3
982,Hero,Phæacia,3
983,Jove,Suppliant,3
984,Jove,Words,3
985,Hero,Herald,3
986,Alcinoüs,Stranger,3
987,Alcinoüs,Attend,3
988,Chiefs,Mind,3
989,Chiefs,Attend,3
990,Chiefs,Stranger,3
991,Gods,Sat,3
992,Cyclops,Ulysses,3
993,Ulysses,Think,3
994,Ulysses,Meantime,3
995,King,Meantime,3
996,Gods,Ogygia,3
997,Ogygia,Nymph,3
998,Gods,Calypso,3
999,Gods,Her,3
1000,Jove,Partners,3
1001,Neptune,Way,3
1002,Gods,Age,3
1003,Hero,Thy,3
1004,Ulysses,Times,3
1005,Ulysses,Portico,3
1006,Ulysses,Place,3
1007,Ulysses,Demodocus,3
1008,Chief,Alcinoüs,3
1009,Chief,Forth,3
1010,Alcinoüs,Forth,3
1011,Alcinoüs,Herald,3
1012,Alcinoüs,Mighty,3
1013,Gods,Achaia,3
1014,Gods,Chiefs,3
1015,Hero,Chiefs,3
1016,Phæacians,Chiefs,3
1017,Phæacians,Senators,3
1018,Laodamas,Alcinoüs,3
1019,Alcinoüs,Thou,3
1020,God,Pow'rs,3
1021,Ulysses,Theme,3
1022,Gods,Answer,3
1023,Alcinoüs,Sons,3
1024,Gods,Words,3
1025,Gods,Place,3
1026,Jove,Home,3
1027,Ilium,Horse,3
1028,Thy,Thee,3
1029,God,Thy,3
1030,Gods,Heart,3
1031,Ismarus,City,3
1032,Cyclops,Monster,3
1033,Gods,People,3
1034,Gods,Palace,3
1035,Ulysses,Earth,3
1036,Ithaca,Isles,3
1037,Ilium,City,3
1038,Gods,Nine,3
1039,Agamemnon,Chief,3
1040,Gods,Wrongs,3
1041,Cyclops,Jove,3
1042,Jove,Hostility,3
1043,Cyclops,Friends,3
1044,Chief,Laertes,3
1045,Chief,Prophet,3
1046,Ulysses,Cloath,3
1047,Neptune,God,3
1048,Jove,Shore,3
1049,Jove,Destruction,3
1050,Pow,Thou,3
1051,Circe,Abode,3
1052,Laertiades,Thee,3
1053,Deep,Bark,3
1054,Ithaca,Herds,3
1055,Pluto,Proserpine,3
1056,Tiresias,Ithaca,3
1057,Circe,Divine,3
1058,Hast,Thou,3
1059,King,Boar,3
1060,Chief,People,3
1061,Achaia,Ithaca,3
1062,Ulysses,Sprang,3
