,Source,Target,Weight
984,Agamemnon,Hector,5
985,Argives,Hector,5
986,Hector,Words,5
987,Trojans,Arms,5
988,Chief,Voice,5
989,Mars,Trojans,5
990,Trojans,Side,5
991,Iris,Haste,5
992,Come,Thou,5
993,Chiefs,Menelaus,5
994,Ulysses,King,5
995,Idomeneus,Crete,5
996,Helen,Troy,5
997,Troy,Into,5
998,Chiefs,Jove,5
999,Jove,Arm,5
1000,Jove,Sun,5
1001,Priam,Arms,5
1002,Ilium,Chief,5
1003,Ulysses,Spear,5
1004,Goddess,Thee,5
1005,Jove,Trojan,5
1006,Thou,Fight,5
1007,Trojan,Nor,5
1008,Trojan,Friend,5
1009,Troy,None,5
1010,Troy,Death,5
1011,Trojans,Hath,5
1012,Minerva,Son,5
1013,Troy,Juno,5
1014,Juno,Argos,5
1015,Minerva,Side,5
1016,Troy,Minerva,5
1017,Troy,Gates,5
1018,Troy,Nor,5
1019,Juno,Earth,5
1020,Thee,Gods,5
1021,Gods,Daughter,5
1022,Gods,Field,5
1023,Juno,Accents,5
1024,Pallas,Trojans,5
1025,Paris,From,5
1026,Atreus,Menelaus,5
1027,Him,Brave,5
1028,Jove,City,5
1029,Greeks,Stand,5
1030,Diomede,Side,5
1031,Stood,Son,5
1032,Tydeus,Thou,5
1033,Thy,Father,5
1034,Troy,Come,5
1035,Trojans,Face,5
1036,Apollo,Jove,5
1037,Apollo,Grecians,5
1038,Grecians,Force,5
1039,Pallas,Diomede,5
1040,Diomede,Tydides,5
1041,Troy,Greece,5
1042,Grecians,Greece,5
1043,Meriones,Hand,5
1044,God,Arm,5
1045,Lycia,Troy,5
1046,Æneas,Battle,5
1047,Troy,Home,5
1048,Hector,Part,5
1049,Thou,Steeds,5
1050,Thou,Field,5
1051,Diomede,Battle,5
1052,Tydeus,Spear,5
1053,Diomede,Men,5
1054,Jove,Venus,5
1055,Jove,Her,5
1056,Jove,Hearts,5
1057,Mars,Spear,5
1058,Mars,Venus,5
1059,Gods,Venus,5
1060,Mars,Time,5
1061,Are,Thou,5
1062,Mars,Hand,5
1063,Diomede,Hand,5
1064,Æneas,Apollo,5
1065,Trojans,Apollo,5
1066,Grecians,Troy,5
1067,Troy,Day,5
1068,Troy,Fear,5
1069,Mars,Field,5
1070,Greeks,Trojan,5
1071,Trojan,Forth,5
1072,Æneas,Priam,5
1073,Priam,Him,5
1074,Nestor,Hand,5
1075,Nestor,Greece,5
1076,Nestor,Hector,5
1077,Hector,Diomede,5
1078,Trojan,Body,5
1079,Sarpedon,Jove,5
1080,Jove,Sarpedon,5
1081,Troy,Hast,5
1082,Thy,Soul,5
1083,Hector,Ardent,5
1084,Hector,Blood,5
1085,Jove,Friend,5
1086,Hector,First,5
1087,Hector,Godlike,5
1088,Juno,Saturn,5
1089,Jove,Fall,5
1090,Pallas,Chief,5
1091,Jove,Immortal,5
1092,Juno,Force,5
1093,Hector,Gate,5
1094,Agamemnon,Nestor,5
1095,Hector,Lycians,5
1096,Achilles,Rage,5
1097,Son,Hector,5
