Source,Target
sword,city
sword,fire
sword,gold
sword,justice
sword,knife
sword,object
sword,trident
sword,weapons
sword,world
teeth,mouth
teeth,power
teeth,trident
temple,hunter
temple,lake
temple,lamp
temple,lyre
temple,man
temple,ship
thread,loss
thread,minotaur
thread,string
throne,justice
thunderbolt,bull
thunderbolt,dew
thunderbolt,eagle
thunderbolt,mountain
thunderbolt,weapons
thunderbolt,wings
time,ages
time,boar
time,death
time,destruction
time,dragon
time,euphrates
time,eye
time,farmer
time,fire
time,flocks
time,garden
time,giant
time,heart
time,island
time,king
time,labyrinth
time,lake
time,marks
time,metals
time,mirror
time,moon
time,music
time,object
time,procession
time,prometheus
time,river
time,saturn
time,sign
time,space
time,sword
time,temple
time,thunderbolt
time,wall
time,water
time,world
tower,room
treasure,giant
treasure,gold
treasure,hesperides
treasure,palace
treasure,serpent
tree,bird
tree,birds
tree,choice
tree,death
tree,dew
tree,forest
tree,laurel
tree,mountain
tree,oak
tree,seed
tree,serpent
tree,ship
tree,sign
tree,steps
tree,sword
tree,tower
trident,fight
trident,horse
trident,power
trident,rod
trident,weapons
triumph,monsters
triumph,procession
triumph,ship
triumph,strength
valley,music
voyage,boat
wall,house
wall,mirror
wall,teeth
war,blood
war,hero
war,horse
war,sword
warriors,crowd
warriors,hero
water,air
water,animals
water,basket
water,bath
water,blood
water,bull
water,cauldron
water,desert
water,destruction
water,dew
water,dragon
water,eagle
water,fire
water,flight
water,garden
water,hair
water,horse
water,lake
water,life
water,man
water,mirror
water,mist
water,moon
water,mother
water,music
water,nymphs
water,ocean
water,scales
water,shadow
water,smoke
water,stars
water,temple
water,tree
water,well
waves,horse
waves,meadow
waves,serpent
weapons,cave
weapons,father
weapons,monsters
weapons,pegasus
weapons,sword
weapons,teeth
well,ages
well,air
well,animals
well,bird
well,blood
well,bull
well,cauldron
well,city
well,crowd
well,death
well,door
well,dragon
well,farmer
well,fire
well,hair
well,hand
well,head
well,herbs
well,hero
well,horse
well,house
well,journey
well,life
well,man
well,minstrel
well,mirror
well,mountain
well,music
well,saturn
well,seasons
well,shape
well,stone
well,sword
well,trident
well,wings
west,animals
west,bird
west,giant
west,hand
west,man
west,mother
west,serpent
west,space
